work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,MI,FT,Full Stack Developer,174783.8,AUD,114989.34,Australia,100,Australia,M
2025,MI,CT,DevOps Engineer,100119.27,EUR,107655.13,Germany,50,Germany,S
2025,EX,PT,Software Engineer,87750.25,GBP,111076.27,UK,50,UK,L
2025,EX,PT,Data Scientist,200906.68,CAD,148819.76,Canada,50,Canada,L
2025,SE,FT,AI Researcher,22505680.2,JPY,143074.89,Japan,0,Japan,L
2025,SE,FT,ML Engineer,123654.28,EUR,132961.59,Germany,0,Germany,S
2025,EN,FL,Product Manager,2808956.34,ZAR,156053.13,South Africa,100,South Africa,XL
2025,EN,FT,IT Project Manager,137935.26,CAD,102174.27,Canada,50,Canada,S
2025,SE,FL,Data Engineer,166556.47,CAD,123375.16,Canada,50,Canada,L
2025,SE,PT,Business Intelligence Analyst,71841.61,GBP,90938.75,UK,0,UK,L
2025,MI,FT,Data Scientist,2336911.02,ZAR,129828.39,South Africa,50,South Africa,L
2025,EX,FT,Software Engineer,91174.85,EUR,98037.47,Germany,50,Germany,S
2025,MI,PT,Systems Administrator,15657351.0,JPY,99538.15,Japan,0,Japan,M
2025,SE,CT,Cloud Architect,202267.23,CAD,149827.58,Canada,100,Canada,XL
2025,SE,FL,AI Researcher,18723873.6,JPY,119032.89,Japan,0,Japan,S
2025,MI,PT,IT Project Manager,741862.61,BRL,136875.02,Brazil,0,Brazil,M
2025,MI,FT,Full Stack Developer,10056780.08,INR,120440.48,India,50,India,M
2025,MI,FT,Systems Administrator,107390.12,SGD,79548.24,Singapore,0,Singapore,S
2025,EN,FL,Systems Administrator,1565195.04,ZAR,86955.28,South Africa,50,South Africa,M
2025,SE,FT,Business Intelligence Analyst,134364.11,SGD,99528.97,Singapore,0,Singapore,M
2025,MI,CT,ML Engineer,2659524.48,ZAR,147751.36,South Africa,0,South Africa,XL
2025,MI,PT,Business Intelligence Analyst,145175.2,AUD,95510.0,Australia,50,Australia,S
2025,EN,FL,DevOps Engineer,109502.73,USD,109502.73,USA,0,USA,XL
2025,MI,CT,Software Engineer,7221798.93,INR,86488.61,India,50,India,L
2025,EN,FL,Data Scientist,152463.8,CAD,112936.15,Canada,0,Canada,XL
2025,SE,FT,Product Manager,801140.77,BRL,147811.95,Brazil,100,Brazil,S
2025,MI,FT,Data Scientist,182419.03,CAD,135125.21,Canada,0,Canada,S
2025,EX,FL,IT Project Manager,82748.92,GBP,104745.47,UK,50,UK,L
2025,MI,FL,Business Intelligence Analyst,16536075.99,JPY,105124.45,Japan,50,Japan,M
2025,EX,FT,Data Scientist,85361.57,EUR,91786.63,Germany,0,Germany,L
2025,EN,FT,Systems Administrator,68819.48,GBP,87113.27,UK,0,UK,S
2025,EX,PT,Cloud Architect,192543.32,AUD,126673.24,Australia,50,Australia,S
2025,EX,FL,Data Engineer,1992653.64,ZAR,110702.98,South Africa,50,South Africa,S
2025,EX,FT,Full Stack Developer,137472.21,SGD,101831.27,Singapore,0,Singapore,XL
2025,EN,PT,IT Project Manager,81776.2,GBP,103514.18,UK,100,UK,XL
2025,SE,PT,Data Engineer,161914.99,CAD,119937.03,Canada,50,Canada,L
2025,EN,PT,Data Engineer,589682.78,BRL,108797.56,Brazil,100,Brazil,S
2025,EN,CT,Data Scientist,20055856.96,JPY,127500.68,Japan,50,Japan,L
2025,EN,FL,Full Stack Developer,1934316.18,ZAR,107462.01,South Africa,50,South Africa,S
2025,SE,PT,Data Scientist,103659.13,USD,103659.13,USA,0,USA,M
2025,EN,FL,DevOps Engineer,21404904.24,JPY,136076.95,Japan,100,Japan,M
2025,EX,FL,ML Engineer,2560750.38,ZAR,142263.91,South Africa,0,South Africa,M
2025,SE,FT,Cloud Architect,2943129.96,ZAR,163507.22,South Africa,100,South Africa,M
2025,MI,FT,Business Intelligence Analyst,135010.23,SGD,100007.58,Singapore,0,Singapore,M
2025,EN,FT,Product Manager,125296.85,USD,125296.85,USA,50,USA,S
2025,MI,FT,Product Manager,106717.66,GBP,135085.64,UK,50,UK,M
2025,MI,FL,Systems Administrator,135544.25,AUD,89173.85,Australia,50,Australia,L
2025,SE,FL,Systems Administrator,114845.23,CAD,85070.54,Canada,0,Canada,M
2025,EX,PT,Data Engineer,170749.49,AUD,112335.19,Australia,50,Australia,M
2025,EN,CT,IT Project Manager,113494.64,USD,113494.64,USA,0,USA,XL
2025,SE,FL,Product Manager,10859890.6,INR,130058.57,India,0,India,L
2025,SE,CT,IT Project Manager,126934.84,EUR,136489.08,Germany,100,Germany,XL
2025,MI,FT,Systems Administrator,8540416.74,INR,102280.44,India,50,India,XL
2025,SE,FT,DevOps Engineer,1942120.44,ZAR,107895.58,South Africa,100,South Africa,M
2025,EX,FL,Cybersecurity Analyst,77350.74,GBP,97912.33,UK,50,UK,L
2025,SE,PT,Product Manager,218338.62,AUD,143643.83,Australia,50,Australia,S
